requested_date,stock_code,stock_name,market_date,financial_report_date,current_price,bps,eps,roe,net_profit,profit_growth_yoy,dividend_per_share,payout_ratio,dividend_yield,pb_current,pe_current,nim,npl_ratio,provision_coverage,provision_coverage_report_date,provision_coverage_source,cet1_ratio,capital_adequacy_ratio,net_interest_spread,loan_provision_ratio,loan_to_deposit_ratio,bank_special_metrics_report_date,bank_special_metrics_source,risk_free_rate,equity_risk_premium,beta,long_term_growth,roe_trend,nim_change,npl_ratio_change,provision_coverage_change,dividend_stable
2026-06-24,sh.601398,工商银行,2026-06-24,2026-03-31,7.22,11.062472324666707,1.041921,0.081144,88013000000.0,0.039004,0.4749,0.4557927136510349,0.06577562326869806,0.652657,6.9295080913044265,0.015,0.015,2.0,,,0.11,0.15,,,,,,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
2026-06-25,sh.601398,工商银行,2026-06-25,2026-03-31,7.19,11.062474517074522,1.041921,0.081144,88013000000.0,0.039004,0.4749,0.4557927136510349,0.0660500695410292,0.649945,6.90071512139596,0.0129,0.0131,2.1438,2026-03-31,AKShare / Eastmoney financial indicators,0.1326,0.1821,None,None,0.8298023794488156,2026-03-31,AKShare / Eastmoney financial indicators,0.02,0.06,0.8,0.03,0.0,0.0,0.0,0.0,True
